cell,cm,cc,n,crpss,lat,lon
g-37p3_175p0,0.31863355584343006,0.7570186679825808,1200,0.5790941897211419,-37.3,175.0
g-37p3_175p1,0.25514005253572186,0.735208715419285,1200,0.652969221957309,-37.3,175.1
g-37p3_175p2,0.2244032453202504,0.72330008604719,1200,0.6897508383462161,-37.3,175.2
g-37p3_175p3,0.2836874153064998,0.7828676235396415,1200,0.6376304156967925,-37.3,175.3
g-37p3_175p4,0.28189416913556953,0.8244619210545594,1200,0.6580870966423749,-37.3,175.4
g-37p3_175p5,0.3101863754166544,0.7510331736805801,1194,0.5869871181634663,-37.3,175.5
g-37p3_175p6,0.43242867786943073,0.8542431936118131,1200,0.4937873885291548,-37.3,175.6
g-37p3_175p7,0.3030161837082163,0.796225562148417,1200,0.6194342431174875,-37.3,175.7
g-37p3_175p8,0.5271515841759448,0.9497736217578252,1200,0.4449713362218869,-37.3,175.8
g-37p4_174p7,0.23175333057650324,0.6738779275445268,1200,0.6560900407868159,-37.4,174.7
g-37p4_174p8,0.30115201751369425,0.7218259692999224,1200,0.5827913786396842,-37.4,174.8
g-37p4_174p9,0.25729378524754076,0.712512657007513,1200,0.6388923302385241,-37.4,174.9
g-37p4_175p0,0.4102574911857711,0.7572539707987259,1200,0.45822999019332267,-37.4,175.0
g-37p4_175p1,0.3224506405793791,0.790390456559447,1200,0.5920362677669465,-37.4,175.1
g-37p4_175p2,0.6199606569476779,0.9114974513333164,1176,0.3198437844880263,-37.4,175.2
g-37p4_175p3,0.25392746448799625,0.7033124176878482,1200,0.6389549535855101,-37.4,175.3
g-37p4_175p4,0.22452605151891186,0.7268468639208003,1200,0.6910957965646847,-37.4,175.4
g-37p4_175p5,0.3013177230085713,0.7489212637643019,1200,0.5976643505966723,-37.4,175.5
g-37p4_175p6,0.173337807565609,0.7617755850978817,1200,0.7724555486464737,-37.4,175.6
g-37p4_175p7,0.3025972827105432,0.8120599280452977,1200,0.6273707490542939,-37.4,175.7
g-37p4_175p8,0.3503374956643733,0.8281537267705426,1200,0.5769656232417805,-37.4,175.8
g-37p4_175p9,0.347057847235322,0.8219906344761451,1200,0.5777836964571961,-37.4,175.9
g-37p5_174p8,0.349573204950487,0.7866849709286665,1200,0.5556376213240447,-37.5,174.8
g-37p5_174p9,0.39866370795435996,0.8031235952985784,1200,0.5036085226631298,-37.5,174.9
g-37p5_175p0,0.27965583112479403,0.7377566175659498,1200,0.6209375497742724,-37.5,175.0
g-37p5_175p1,0.40700965577052184,0.8090763207835455,1200,0.4969452877123439,-37.5,175.1
g-37p5_175p2,0.3226367071297829,0.7790651199035347,1200,0.5858668307859395,-37.5,175.2
g-37p5_175p3,0.20653506019246784,0.6972327600745484,1200,0.7037788927611706,-37.5,175.3
g-37p5_175p4,0.36999523045873917,0.7780994641579067,1200,0.5244885165688113,-37.5,175.4
g-37p5_175p5,0.5503597073646482,0.8527617540458838,1200,0.35461492643930714,-37.5,175.5
g-37p5_175p6,0.49863027843638785,0.8765295225242152,1200,0.43113122191202347,-37.5,175.6
g-37p5_175p7,0.378135915368864,0.807599192733566,1200,0.5317777447387638,-37.5,175.7
g-37p5_175p8,0.2710631875380261,0.8066232583407934,1200,0.6639531717748912,-37.5,175.8
g-37p5_175p9,0.5316324947045535,0.8825295894950007,1200,0.39760377325278895,-37.5,175.9
g-37p6_174p8,0.2887294715560534,0.6958256165512527,1200,0.5850548403390287,-37.6,174.8
g-37p6_174p9,0.305717766958311,0.7256869632083301,1200,0.5787194996494025,-37.6,174.9
g-37p6_175p0,0.33056543074511135,0.7564081551119064,1200,0.5629800809112033,-37.6,175.0
g-37p6_175p1,0.23213301557988905,0.740952345887199,1200,0.686709925586458,-37.6,175.1
g-37p6_175p2,0.3251297201181272,0.7819890450888003,1200,0.5842272699853405,-37.6,175.2
g-37p6_175p3,0.25611170894630536,0.718736922556224,1200,0.6436641823889732,-37.6,175.3
g-37p6_175p4,0.2542912144741829,0.6994168804073706,1200,0.6364239674540415,-37.6,175.4
g-37p6_175p5,0.6599090631994271,1.0148009213044618,1200,0.3497157429152151,-37.6,175.5
g-37p6_175p6,0.3160267386016136,0.7890775263945883,1200,0.5994984928216287,-37.6,175.6
g-37p6_175p7,0.2676647839912781,0.7504650553067526,1200,0.6433347800826381,-37.6,175.7
g-37p6_175p8,0.3051743181070756,0.7188075524102896,1200,0.5754436398396596,-37.6,175.8
g-37p6_175p9,0.5424273152853553,0.906561460243538,1200,0.4016651500499062,-37.6,175.9
g-37p6_176p0,0.33381263712656767,0.8049747734097764,1200,0.585312921406745,-37.6,176.0
g-37p7_174p8,0.22723152420167247,0.672956262412481,1200,0.6623383466451889,-37.7,174.8
g-37p7_174p9,0.29623172308060525,0.7503094105422496,1200,0.6051872481960233,-37.7,174.9
g-37p7_175p0,0.2640961431170262,0.6875701434087629,1200,0.6158993440178799,-37.7,175.0
g-37p7_175p1,0.32459578141846746,0.6984933523988972,1200,0.5352915238152524,-37.7,175.1
g-37p7_175p2,0.30746539060985656,0.6907256443798542,1200,0.5548661134683881,-37.7,175.2
g-37p7_175p3,0.30239250649030136,0.7188849415707712,1200,0.579358964134691,-37.7,175.3
g-37p7_175p4,0.32420393568291617,0.8032801279320789,1194,0.5963999053262661,-37.7,175.4
g-37p7_175p5,0.3231051361397662,0.7814501176883156,1200,0.5865313360044333,-37.7,175.5
g-37p7_175p6,0.2530769320886743,0.7827288482757285,1200,0.6766735598845285,-37.7,175.6
g-37p7_175p7,0.20357118521117337,0.7542665668250993,1200,0.7301071077986971,-37.7,175.7
g-37p7_175p8,0.3658171186916012,0.8548627081715191,1200,0.5720750066708912,-37.7,175.8
g-37p7_175p9,0.38335363899767455,0.856439339327626,1200,0.5523866999166127,-37.7,175.9
g-37p7_176p0,0.49745543695967775,0.9328669230422626,1200,0.4667455510831302,-37.7,176.0
g-37p7_176p1,0.3862646634252815,0.8202362125537669,1200,0.5290811872074452,-37.7,176.1
g-37p7_176p2,0.22625097325489696,0.798058738658784,1193,0.7164983449274249,-37.7,176.2
g-37p7_176p3,0.17165770703003422,0.7341710332217299,1196,0.7661883958064153,-37.7,176.3
g-37p7_177p7,0.4285883294385089,0.9156023232918232,1200,0.531905589866106,-37.7,177.7
g-37p7_177p8,0.4062266956958847,0.9047381698976581,1200,0.5510008207768706,-37.7,177.8
g-37p7_177p9,0.3484806324903555,0.939203809563381,1200,0.6289616492799812,-37.7,177.9
g-37p7_178p0,0.33716552416701207,0.8314428714864577,1200,0.5944814301381575,-37.7,178.0
g-37p8_174p9,0.40596916975805236,0.8285160011068607,1200,0.510004430553308,-37.8,174.9
g-37p8_175p0,0.2389069658599485,0.6251463588836718,1199,0.6178383470287401,-37.8,175.0
g-37p8_175p1,0.27094602813979335,0.7493926827081789,1200,0.6384458583707542,-37.8,175.1
g-37p8_175p2,0.28025798001539165,0.6544493504289428,1195,0.571765210200448,-37.8,175.2
g-37p8_175p3,0.43336871050021253,0.7738357604372625,1200,0.4399732699670873,-37.8,175.3
g-37p8_175p4,0.3167185323511967,0.7376532421475464,1192,0.5706403574813459,-37.8,175.4
g-37p8_175p5,0.3418495647077098,0.7634759031515569,1200,0.5522457705651391,-37.8,175.5
g-37p8_175p6,0.25687705759878615,0.7754484594597791,1200,0.6687374196632732,-37.8,175.6
g-37p8_175p7,0.3890822861335042,0.8081155111268162,1200,0.5185313475904236,-37.8,175.7
